Date,Price,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM,DEXCHUS
2019-06-05,2.6245,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1447513172369868
2019-06-06,2.6515,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1447555079470774
2019-06-07,2.6295,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1448079123043283
2019-06-10,2.6625,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1443043089266645
2019-06-11,2.673,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.144703141505202
2019-06-12,2.655,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1445901591937652
2019-06-13,2.658,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1444836155579957
2019-06-14,2.631,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1444105881843256
2019-06-17,2.6455,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1444022468989617
2019-06-18,2.7025,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1449233355554911
2019-06-19,2.6805,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1449359383152646
2019-06-20,2.7125,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.145964092833163
2019-06-21,2.7055,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1455900765803802
2019-06-24,2.7065,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1454376218040082
2019-06-25,2.7365,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1453678533529095
2019-06-26,2.7155,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1453889882380308
2019-06-27,2.7165,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.145429161455455
2019-06-28,2.7135,6.0,2019.0,20692.087,256.092,1.81221007526015,119.639814357328,0.1456664238892935
2019-07-01,2.688,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1460131119774555
2019-07-02,2.664,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1455243971651847
2019-07-03,2.683,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453361625439641
2019-07-04,2.68,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1452105916605557
2019-07-05,2.661,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1450852375770765
2019-07-08,2.659,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453319381467271
2019-07-09,2.625,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1452095373624139
2019-07-10,2.694,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1455498144239866
2019-07-11,2.6875,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1455985556623278
2019-07-12,2.694,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.145357288214431
2019-07-15,2.711,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.14541435821373
2019-07-16,2.7,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.14544819862406
2019-07-17,2.716,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1454947549140853
2019-07-18,2.71,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453741931732279
2019-07-19,2.7525,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453234900889379
2019-07-22,2.722,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453424996003081
