,Date,Price,Open,High,Low,Vol.,Change %,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM
50,2023-07-26,3.902,3.9265,3.9265,3.8765,65.16,0.34,7.0,2023.0,19374.0,307.026,6.6,307.026
51,2023-07-25,3.9155,3.8485,3.9415,3.8445,85.94,1.56,7.0,2023.0,19374.0,307.026,6.6,307.026
52,2023-07-20,3.8345,3.8155,3.8885,3.811,69.44,0.54,7.0,2023.0,19374.0,307.026,6.6,307.026
53,2023-07-19,3.814,3.833,3.8385,3.781,55.19,0.4,7.0,2023.0,19374.0,307.026,6.6,307.026
54,2023-07-18,3.8295,3.843,3.8545,3.803,61.15,0.38,7.0,2023.0,19374.0,307.026,6.6,307.026
55,2023-07-17,3.844,3.927,3.927,3.8115,79.08,2.26,7.0,2023.0,19374.0,307.026,6.6,307.026
56,2023-07-14,3.933,3.953,3.954,3.9035,78.2,0.18,7.0,2023.0,19374.0,307.026,6.6,307.026
57,2023-07-13,3.94,3.854,3.953,3.842,103.64,2.26,7.0,2023.0,19374.0,307.026,6.6,307.026
58,2023-07-12,3.853,3.7725,3.8605,3.7665,77.86,2.31,7.0,2023.0,19374.0,307.026,6.6,307.026
59,2023-07-11,3.766,3.789,3.8225,3.752,64.23,0.49,7.0,2023.0,19374.0,307.026,6.6,307.026
60,2023-07-10,3.7845,3.782,3.799,3.7425,46.99,0.07,7.0,2023.0,19374.0,307.026,6.6,307.026
61,2023-07-07,3.782,3.7425,3.7875,3.7255,52.2,1.27,7.0,2023.0,19374.0,307.026,6.6,307.026
62,2023-07-06,3.7345,3.7615,3.776,3.7225,60.47,0.9,7.0,2023.0,19374.0,307.026,6.6,307.026
63,2023-07-05,3.7685,3.7935,3.8095,3.7325,70.9,0.42,7.0,2023.0,19374.0,307.026,6.6,307.026
64,2023-07-03,3.794,3.7655,3.8075,3.7595,48.35,0.92,7.0,2023.0,19374.0,307.026,6.6,307.026
65,2023-06-30,3.7595,3.6995,3.7705,3.6945,58.63,1.64,6.0,2023.0,19374.0,305.109,6.6,305.109
66,2023-06-29,3.699,3.729,3.752,3.683,75.09,1.16,6.0,2023.0,19374.0,305.109,6.6,305.109
67,2023-06-28,3.7425,3.79,3.8,3.718,58.61,1.21,6.0,2023.0,19374.0,305.109,6.6,305.109
68,2023-06-27,3.7885,3.8005,3.8465,3.7775,51.67,0.42,6.0,2023.0,19374.0,305.109,6.6,305.109
69,2023-06-26,3.8045,3.8205,3.8495,3.785,51.83,0.29,6.0,2023.0,19374.0,305.109,6.6,305.109
70,2023-06-23,3.8155,3.9005,3.9015,3.7975,44.54,2.18,6.0,2023.0,19374.0,305.109,6.6,305.109
71,2023-06-22,3.9005,3.9045,3.964,3.8845,43.05,0.26,6.0,2023.0,19374.0,305.109,6.6,305.109
72,2023-06-21,3.9105,3.8925,3.92,3.8535,46.04,0.44,6.0,2023.0,19374.0,305.109,6.6,305.109
73,2023-06-20,3.8935,3.887,3.907,3.849,43.54,0.76,6.0,2023.0,19374.0,305.109,6.6,305.109
74,2023-06-16,3.8985,3.8945,3.9295,3.887,31.74,0.14,6.0,2023.0,19374.0,305.109,6.6,305.109
75,2023-06-15,3.904,3.866,3.9055,3.819,37.03,0.88,6.0,2023.0,19374.0,305.109,6.6,305.109
76,2023-06-14,3.87,3.8285,3.874,3.798,89.72,1.02,6.0,2023.0,19374.0,305.109,6.6,305.109
77,2023-06-13,3.831,3.753,3.864,3.745,115.3,2.11,6.0,2023.0,19374.0,305.109,6.6,305.109
78,2023-06-12,3.752,3.7715,3.778,3.735,78.65,0.98,6.0,2023.0,19374.0,305.109,6.6,305.109
79,2023-06-09,3.789,3.7875,3.8335,3.7695,84.55,0.16,6.0,2023.0,19374.0,305.109,6.6,305.109
80,2023-06-08,3.795,3.7535,3.797,3.7345,87.85,1.04,6.0,2023.0,19374.0,305.109,6.6,305.109
81,2023-06-07,3.756,3.7665,3.8115,3.741,95.21,0.33,6.0,2023.0,19374.0,305.109,6.6,305.109
82,2023-06-06,3.7685,3.7625,3.78,3.718,62.02,0.01,6.0,2023.0,19374.0,305.109,6.6,305.109
83,2023-06-05,3.768,3.728,3.7845,3.686,80.76,1.09,6.0,2023.0,19374.0,305.109,6.6,305.109
84,2023-06-02,3.7275,3.7125,3.789,3.6925,82.61,0.44,6.0,2023.0,19374.0,305.109,6.6,305.109
85,2023-06-01,3.711,3.667,3.7315,3.645,85.92,2.03,6.0,2023.0,19374.0,305.109,6.6,305.109
86,2023-05-31,3.637,3.662,3.6715,3.622,66.58,0.71,5.0,2023.0,19374.0,304.127,6.6,304.127
87,2023-05-30,3.663,3.682,3.711,3.627,88.1,0.24,5.0,2023.0,19374.0,304.127,6.6,304.127
88,2023-05-26,3.6755,3.589,3.675,3.583,0.66,2.6,5.0,2023.0,19374.0,304.127,6.6,304.127
89,2023-05-25,3.5825,3.557,3.607,3.5405,0.93,0.59,5.0,2023.0,19374.0,304.127,6.6,304.127
90,2023-05-24,3.5615,3.6405,3.6475,3.545,102.9,2.54,5.0,2023.0,19374.0,304.127,6.6,304.127
91,2023-05-23,3.6545,3.6805,3.705,3.622,69.19,0.83,5.0,2023.0,19374.0,304.127,6.6,304.127
92,2023-05-22,3.685,3.7275,3.7375,3.6675,55.95,1.26,5.0,2023.0,19374.0,304.127,6.6,304.127
93,2023-05-19,3.732,3.6975,3.7675,3.6765,59.32,1.15,5.0,2023.0,19374.0,304.127,6.6,304.127
94,2023-05-18,3.6895,3.746,3.7645,3.6805,60.35,1.73,5.0,2023.0,19374.0,304.127,6.6,304.127
95,2023-05-17,3.7545,3.662,3.774,3.6525,82.45,2.39,5.0,2023.0,19374.0,304.127,6.6,304.127
96,2023-05-16,3.667,3.743,3.7545,3.657,74.94,2.24,5.0,2023.0,19374.0,304.127,6.6,304.127
97,2023-05-15,3.751,3.7235,3.779,3.7005,59.89,0.6,5.0,2023.0,19374.0,304.127,6.6,304.127
98,2023-05-09,3.9015,3.924,3.924,3.881,46.22,0.71,5.0,2023.0,19374.0,304.127,6.6,304.127
99,2023-05-08,3.9295,3.8925,3.9595,3.8765,40.07,1.2,5.0,2023.0,19374.0,304.127,6.6,304.127
100,2023-05-05,3.883,3.861,3.906,3.825,59.64,0.52,5.0,2023.0,19374.0,304.127,6.6,304.127
101,2023-05-04,3.863,3.855,3.9075,3.826,68.25,0.47,5.0,2023.0,19374.0,304.127,6.6,304.127
102,2023-05-03,3.845,3.8685,3.872,3.83,51.3,0.45,5.0,2023.0,19374.0,304.127,6.6,304.127
103,2023-05-02,3.8625,3.9355,3.953,3.857,57.6,1.82,5.0,2023.0,19374.0,304.127,6.6,304.127
104,2023-05-01,3.934,3.895,4.005,3.8705,59.06,1.12,5.0,2023.0,19374.0,304.127,6.6,304.127
105,2023-04-28,3.8905,3.891,3.9185,3.857,58.93,0.17,4.0,2023.0,19374.0,304.127,6.6,304.127
106,2023-04-27,3.884,3.857,3.9,3.8165,81.38,0.58,4.0,2023.0,19374.0,304.127,6.6,304.127
107,2023-04-26,3.8615,3.866,3.9095,3.85,73.08,0.09,4.0,2023.0,19374.0,304.127,6.6,304.127
108,2023-04-25,3.865,3.9735,3.985,3.8515,83.03,2.51,4.0,2023.0,19374.0,304.127,6.6,304.127
109,2023-04-24,3.9645,3.99,4.0055,3.96,45.58,0.55,4.0,2023.0,19374.0,304.127,6.6,304.127
110,2023-04-21,3.9865,4.0275,4.0395,3.9825,38.86,1.14,4.0,2023.0,19374.0,304.127,6.6,304.127
111,2023-04-20,4.0325,4.076,4.083,4.016,31.53,1.19,4.0,2023.0,19374.0,304.127,6.6,304.127
112,2023-04-19,4.081,4.0935,4.0975,4.031,28.54,0.38,4.0,2023.0,19374.0,304.127,6.6,304.127
113,2023-04-18,4.0965,4.0785,4.109,4.065,24.78,0.75,4.0,2023.0,19374.0,304.127,6.6,304.127
114,2023-04-17,4.066,4.112,4.133,4.058,62.39,0.99,4.0,2023.0,19374.0,304.127,6.6,304.127
115,2023-04-14,4.1065,4.1285,4.1955,4.095,101.54,0.42,4.0,2023.0,19374.0,304.127,6.6,304.127
116,2023-04-13,4.124,4.07,4.143,4.0535,92.48,1.05,4.0,2023.0,19374.0,304.127,6.6,304.127
117,2023-04-12,4.081,4.0295,4.088,3.984,93.03,1.53,4.0,2023.0,19374.0,304.127,6.6,304.127
118,2023-04-11,4.0195,3.987,4.054,3.978,85.66,1.08,4.0,2023.0,19374.0,304.127,6.6,304.127
119,2023-04-10,3.9765,4.018,4.0395,3.963,56.66,0.97,4.0,2023.0,19374.0,304.127,6.6,304.127
120,2023-04-06,4.0155,3.9825,4.0315,3.971,87.26,0.73,4.0,2023.0,19374.0,304.127,6.6,304.127
121,2023-04-05,3.9865,3.974,3.996,3.926,68.5,0.39,4.0,2023.0,19374.0,304.127,6.6,304.127
122,2023-04-04,3.971,4.053,4.0715,3.9445,82.16,1.84,4.0,2023.0,19374.0,304.127,6.6,304.127
123,2023-04-03,4.0455,4.091,4.0975,4.0345,64.13,1.2,4.0,2023.0,19374.0,304.127,6.6,304.127
124,2023-03-31,4.0945,4.112,4.1175,4.0215,75.93,0.07,3.0,2023.0,19374.0,301.836,6.6,301.836
125,2023-03-30,4.0915,4.0815,4.1345,4.0585,69.86,0.12,3.0,2023.0,19374.0,301.836,6.6,301.836
126,2023-03-29,4.0865,4.0765,4.1335,4.0495,74.24,0.02,3.0,2023.0,19374.0,301.836,6.6,301.836
127,2023-03-28,4.0855,4.097,4.113,4.059,77.25,0.17,3.0,2023.0,19374.0,301.836,6.6,301.836
128,2023-03-27,4.0785,4.075,4.102,4.0235,67.62,0.09,3.0,2023.0,19374.0,301.836,6.6,301.836
129,2023-03-24,4.075,4.1015,4.1485,4.0505,85.51,1.18,3.0,2023.0,19374.0,301.836,6.6,301.836
130,2023-03-23,4.1235,4.043,4.1265,4.0225,79.53,1.95,3.0,2023.0,19374.0,301.836,6.6,301.836
131,2023-03-22,4.0445,4.0015,4.1075,3.9715,78.06,1.26,3.0,2023.0,19374.0,301.836,6.6,301.836
132,2023-03-21,3.994,3.9555,4.0345,3.9285,69.31,1.08,3.0,2023.0,19374.0,301.836,6.6,301.836
133,2023-03-20,3.9515,3.9085,3.97,3.855,73.79,1.52,3.0,2023.0,19374.0,301.836,6.6,301.836
134,2023-03-17,3.8925,3.8765,3.9525,3.87,72.13,0.72,3.0,2023.0,19374.0,301.836,6.6,301.836
135,2023-03-16,3.8645,3.8835,3.903,3.822,85.38,0.56,3.0,2023.0,19374.0,301.836,6.6,301.836
